{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, 1, -1, 1}, {2 + i, 0, 2 - i, -1 + 2*i}, {1, 0, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, 1, -1, 1}, {2 + i, 0, 2 - i, -1 + 2*i}, {1 + i, 0, 1, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, i, -2, 1}, {2, -1, 2 - 2*i, -2 + 2*i}, {1, -1, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, i, -2, 1}, {2, -1, 2 - 2*i, -2 + 2*i}, {1, 0, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, i, -2, 1}, {2 + i, -2 - i, 2 - 2*i, -1 + 2*i}, {1, -1, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, i, -2, 1}, {2 + i, -2 - i, 2 - 2*i, -1 + 2*i}, {1 + i, -1 - i, 1 - i, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, i, -2, 1}, {2 + i, -1 - i, 2 - 2*i, -1 + 2*i}, {1, 0, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-1 - i, i, -2, 1}, {2 + i, -1 - i, 2 - 2*i, -1 + 2*i}, {1 + i, -1 - i, 1 - i, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, 0, -1, 1 - i}, {2 + i, 0, 2 - i, -1 + 2*i}, {1, 0, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, 0, -1, 1 - i}, {2 + i, 0, 2 - i, -1 + 2*i}, {1 + i, 0, 1, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, 0, -1, 1 - i}, {2 + i, -1 - i, 2 - 2*i, -1 + 2*i}, {1, 0, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, 0, -1, 1 - i}, {2 + i, -1 - i, 2 - 2*i, -1 + 2*i}, {1 + i, -1 - i, 1 - i, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, 0, -1, 1 - i}, {2 + 2*i, -1 - i, 2 - i, 2*i}, {1 + i, 0, 1, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, 0, -1, 1 - i}, {2 + 2*i, -1 - i, 2 - i, 2*i}, {1 + i, -1 - i, 1 - i, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, i, -1, 1 - i}, {2 + i, -1, 2 - i, -1 + 2*i}, {1, -1, 1 - i, -1 + i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, i, -1, 1 - i}, {2 + i, -1, 2 - i, -1 + 2*i}, {1 + i, 0, 1, i}}
{{-2, 1, -1 + 2*i, -2*i}, {-i, i, -1, 1 - i}, {2 + i, -2 - i, 2 - 2*i, -1 + 2*i}, {1, -1, 1 - i, -1 + i}}
